순번,연도,관할기관,이름,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액,,
179,2016,국회공직자윤리위원회,김광진,국회,국회의원,채무,"-505,909","-11,224","-19,085","-498,048",,
180,2016,국회공직자윤리위원회,김광진,국회,국회의원,고지거부 및 등록제외사항,0,0,0,0,,
181,2016,국회공직자윤리위원회,김광진,국회,국회의원,총계,"484,840","251,807","120,505","616,142",,
182,2016,국회공직자윤리위원회,김기선,국회,국회의원,토지,"93,903","17,091",0,"110,994",,
183,2016,국회공직자윤리위원회,김기선,국회,국회의원,건물,"476,000","230,000","204,000","502,000",,
184,2016,국회공직자윤리위원회,김기선,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"4,010","26,630","4,010","26,630",,
185,2016,국회공직자윤리위원회,김기선,국회,국회의원,예금,"127,811","90,579","61,075","157,315",,
186,2016,국회공직자윤리위원회,김기선,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"40,294",0,"40,294",,
187,2016,국회공직자윤리위원회,김기선,국회,국회의원,채권,"250,000",0,"250,000",0,,
188,2016,국회공직자윤리위원회,김기선,국회,국회의원,채무,"-301,566","-125,613","-99,000","-328,179",,
189,2016,국회공직자윤리위원회,김기선,국회,국회의원,고지거부 및 등록제외사항,0,0,0,0,,
190,2016,국회공직자윤리위원회,김기선,국회,국회의원,총계,"650,158","278,981","420,085","509,054",,
191,2016,국회공직자윤리위원회,김기식,국회,국회의원,토지,"9,389",0,730,"8,659",,
192,2016,국회공직자윤리위원회,김기식,국회,국회의원,건물,"591,000","200,000","591,000","200,000",,
193,2016,국회공직자윤리위원회,김기식,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"2,600",0,360,"2,240",,
194,2016,국회공직자윤리위원회,김기식,국회,국회의원,예금,"517,148","467,690","282,528","702,310",,
195,2016,국회공직자윤리위원회,김기식,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"337,723",0,"337,723",,
196,2016,국회공직자윤리위원회,김기식,국회,국회의원,유가증권,"25,004","4,900","24,535","5,369",,
197,2016,국회공직자윤리위원회,김기식,국회,국회의원,채무,"-180,000",0,"-180,000",0,,
198,2016,국회공직자윤리위원회,김기식,국회,국회의원,총계,"965,141","1,010,313","719,153","1,256,301",,
199,2016,국회공직자윤리위원회,김기준,국회,국회의원,건물,"876,000","61,000",0,"937,000",,
200,2016,국회공직자윤리위원회,김기준,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"8,600",0,300,"8,300",,
201,2016,국회공직자윤리위원회,김기준,국회,국회의원,예금,"463,113","69,998","205,215","327,896",,
202,2016,국회공직자윤리위원회,김기준,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"109,465",0,"109,465",,
203,2016,국회공직자윤리위원회,김기준,국회,국회의원,유가증권,"10,880",0,"2,856","8,024",,
